RouterName,TotalTime,Location,Goroutines,TotalRequest,ActualTime,ReadSize,RequestsPerSecond,TransferPerSecond,AverageRequestTime,FastestRequestTime,SlowestRequestTime,NumberOfError
httprouter,1s,/,5,15988,979.403605ms,1.74MB,16324.22,1.77MB,306.293µs,98.142µs,174.087352ms,0
httprouter,1s,/users,5,20846,976.103478ms,2.27MB,21356.34,2.32MB,234.122µs,94.729µs,8.156521ms,0
httprouter,1s,/user/yamiodymel,5,19924,976.433831ms,2.17MB,20404.86,2.22MB,245.039µs,97.763µs,5.931944ms,0
davai,1s,/,5,20598,978.187394ms,2.24MB,21057.31,2.29MB,237.447µs,100.405µs,6.621914ms,0
davai,1s,/users,5,20621,977.728249ms,2.24MB,21090.73,2.29MB,237.071µs,98.125µs,6.278145ms,0
davai,1s,/user/yamiodymel,5,20051,977.345096ms,2.18MB,20515.78,2.23MB,243.714µs,101.661µs,7.311021ms,0
martini,1s,/,5,18654,979.887607ms,2.03MB,19036.88,2.07MB,262.648µs,110.873µs,5.694329ms,0
martini,1s,/users,5,18675,979.995367ms,2.03MB,19056.21,2.07MB,262.381µs,107.081µs,6.204661ms,0
martini,1s,/user/yamiodymel,5,18236,979.578158ms,1.98MB,18616.18,2.02MB,268.583µs,115.695µs,8.648163ms,0
pat,1s,/,5,21265,977.360286ms,2.31MB,21757.59,2.37MB,229.804µs,99.772µs,6.888279ms,0
pat,1s,/users,5,20819,976.175962ms,2.26MB,21327.10,2.32MB,234.443µs,99.042µs,6.006815ms,0
pat,1s,/user/yamiodymel,5,19428,977.461192ms,2.11MB,19875.98,2.16MB,251.559µs,107.217µs,14.107585ms,0
gin,1s,/,5,21066,976.920385ms,2.29MB,21563.68,2.34MB,231.871µs,99.463µs,7.558017ms,0
gin,1s,/users,5,20445,977.300946ms,2.22MB,20919.86,2.27MB,239.007µs,91.9µs,6.879506ms,0
gin,1s,/user/yamiodymel,5,20331,976.862161ms,2.21MB,20812.56,2.26MB,240.239µs,96.945µs,6.124592ms,0
mux,1s,/,5,20068,978.508189ms,2.18MB,20508.77,2.23MB,243.798µs,104.254µs,7.171062ms,0
mux,1s,/users,5,19607,978.571669ms,2.13MB,20036.35,2.18MB,249.546µs,107.218µs,7.976353ms,0
mux,1s,/user/yamiodymel,5,19303,978.851404ms,2.10MB,19720.05,2.14MB,253.549µs,107.924µs,6.185727ms,0
gramework,1s,/,5,23878,970.479766ms,4.44MB,24604.33,4.58MB,203.216µs,82.736µs,6.669162ms,0
gramework,1s,/users,5,22708,974.090842ms,4.22MB,23311.99,4.34MB,214.481µs,84.917µs,6.946126ms,0
gramework,1s,/user/yamiodymel,5,22577,970.014062ms,4.20MB,23274.92,4.33MB,214.823µs,85.178µs,9.604301ms,0
httptreemux,1s,/,5,20717,977.654728ms,2.25MB,21190.51,2.30MB,235.954µs,99.556µs,8.970727ms,0
httptreemux,1s,/users,5,20471,976.511457ms,2.23MB,20963.40,2.28MB,238.51µs,105.51µs,6.563875ms,0
httptreemux,1s,/user/yamiodymel,5,19907,976.899121ms,2.16MB,20377.74,2.22MB,245.365µs,102.167µs,6.584743ms,0
echo,1s,/,5,17621,977.915986ms,1.92MB,18018.93,1.96MB,277.485µs,107.988µs,6.827552ms,0
echo,1s,/users,5,18831,977.934622ms,2.05MB,19255.89,2.09MB,259.66µs,110.689µs,14.077703ms,0
echo,1s,/user/yamiodymel,5,19321,977.755804ms,2.10MB,19760.56,2.15MB,253.029µs,106.081µs,6.379522ms,0
beego,1s,/,5,16127,980.740347ms,2.12MB,16443.70,2.16MB,304.067µs,127.591µs,8.256696ms,0
beego,1s,/users,5,16005,980.216273ms,2.11MB,16328.03,2.15MB,306.221µs,136.346µs,6.670878ms,0
beego,1s,/user/yamiodymel,5,15879,979.69355ms,2.09MB,16208.13,2.13MB,308.487µs,127.525µs,8.068949ms,0
